Title,URL,Year,HoverDescription
Waste Doubled,http://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/Chap3.pdf,2025,Municipal Solid Waste generation levels are expected to double by the year 2025 ( 2.2 billion tonnes per year).
Costs,https://www.ifc.org/wps/wcm/connect/1e5ca7004c07698db58eb7d8bd2c3114/What-A-Waste-Report.pdf?MOD=AJPERES,2025,Solid waste management costs are expected to increase from today's (2012) amount of $205.4 billion to $375.5 billion in 2025.
King of Waste Production,https://www.ifc.org/wps/wcm/connect/1e5ca7004c07698db58eb7d8bd2c3114/What-A-Waste-Report.pdf?MOD=AJPERES,2004,China surpasses the US as the world's largest waste generator.
Projected Waste Growth in China,https://www.ifc.org/wps/wcm/connect/1e5ca7004c07698db58eb7d8bd2c3114/What-A-Waste-Report.pdf?MOD=AJPERES,2030,It is projected that China will produce twice as much municipal solid waste as the United States.
Current Stats,https://www.ifc.org/wps/wcm/connect/1e5ca7004c07698db58eb7d8bd2c3114/What-A-Waste-Report.pdf?MOD=AJPERES,2012,"Currently, almost 1.3 billion tonnes of MSW are generated globally every year, or 1.2 kg/capita/day."
USA Waste ,https://www.epa.gov/sites/production/files/2015-09/documents/2012_msw_fs.pdf,2012,Americans generated about 251 million tons of trash.
US Recycle and Compost,https://www.epa.gov/smm/advancing-sustainable-materials-management-facts-and-figures,2014,89 million tons of municipal solid waste were recycled and composted that year.
Recycling Rate,https://oceanconservancy.org/blog/2017/07/19/8-new-facts-plastic-care/,2012,"Since 2012, the highest recycling rates are in Europe (30%) and China (25%). In the United States, the rate is at 9%."
Plastic Facts,https://oceanconservancy.org/blog/2017/07/19/8-new-facts-plastic-care/,2050,"If the trend continues, humans will have produced 34 billion tons of plastic by 2050."
World Plastic Growth,https://oceanconservancy.org/blog/2017/07/19/8-new-facts-plastic-care/,1950,Global production of plastic increased from 2 million tons in 1950 to 380 million tons by 2015. 
Ocean Waste,https://oceanconservancy.org/blog/2017/07/19/8-new-facts-plastic-care/,2015,"8 million tons of plastic enters the global ocean each year, with nearly half of that originating from a handful of rapidly developing countries in Asia."
Pollution,https://www.dosomething.org/us/facts/11-facts-about-pollution,2014,"Pollution is one of the biggest global killers, affecting over 100 million people. That's comparable to global diseases like malaria and HIV"
Ocean Runoff,https://www.dosomething.org/us/facts/11-facts-about-pollution,1975,"the National Academy of Sciences estimated that ocean-based sources, such as cargo ships and cruise liners had dumped 14 billion pounds of garbage into the ocean."
Animal Death,https://www.dosomething.org/us/facts/11-facts-about-pollution,2001,"Over 1 million seabirds and 100,000 sea mammals are killed by pollution every year."
Gulf of Mexico Pollution,https://www.dosomething.org/us/facts/11-facts-about-pollution,2015,"Every year, about 1.5 million metric tons of nitrogen pollution is carried into the Gulf of Mexico by the Mississippi River. It creates a ""dead zone"" about the size of New Jersey."
Impact on Children,https://www.dosomething.org/us/facts/11-facts-about-pollution,2011,"While children make up 10% of the world's population, over 40% of the global burden of disease falls on them. 3 million children under age five die annually from environmental factors."
Benefits of Recycling,https://www.dosomething.org/us/facts/11-facts-about-pollution,2010,"Recycling and composting prevented 85 million tons of material away from being disposed of in 2010, up from 18 million tons in 1980."
