Country,Seats2000,Seats2001,Seats2002,Seats2003,Seats2004,Seats2005,Seats2006,Seats2007,Seats2008,Seats2009,Seats2010,Seats2011,Seats2012,Seats2013,Seats2014,Seats2015,Internet2000,Internet2001,Internet2002,Internet2003,Internet2004,Internet2005,Internet2006,Internet2007,Internet2008,Internet2009,Internet2010,Internet2011,Internet2012,Internet2013,Internet2014,Internet2015
Afghanistan,,,,,,25.9,26.24,26.58,26.92,27.26,27.6,27.6,27.6,27.6,27.6,27.4,,,,,,1.2,1.76,2.32,2.88,3.44,4,5,5.5,5.9,7,8.3
Albania,5.2,5.58,5.96,6.34,6.72,7.1,8.96,10.82,12.68,14.54,16.4,15.7,15.7,17.9,20,20.7,0.1,1.28,2.46,3.64,4.82,6,13.8,21.6,29.4,37.2,45,49,54.7,57.2,60.1,63.3
Algeria,4,4.26,4.52,4.78,5.04,5.3,5.64,5.98,6.32,6.66,7,7.2,25.8,25.8,25.7,25.7,0.5,1.56,2.62,3.68,4.74,5.8,7.14,8.48,9.82,11.16,12.5,14,15.2,16.5,25,38.2
Andorra,7.1,11.4,15.7,20,24.3,28.6,30.02,31.44,32.86,34.28,35.7,50,50,50,50,39.3,10.5,15.92,21.34,26.76,32.18,37.6,46.28,54.96,63.64,72.32,81,81,86.4,94,95.9,96.9
Angola,15.5,15.4,15.3,15.2,15.1,15,19.72,24.44,29.16,33.88,38.6,38.2,34.1,34.1,36.8,36.8,0.1,0.3,0.5,0.7,0.9,1.1,1.44,1.78,2.12,2.46,2.8,3.1,6.5,8.9,10.2,12.4
Antigua and Barbuda,8.3,9.42,10.54,11.66,12.78,13.9,15,16.1,17.2,18.3,19.4,19.4,19.4,19.4,21.2,25.7,6.5,10.6,14.7,18.8,22.9,27,31,35,39,43,47,52,58,63.4,64,65.2
Argentina,21.3,24.52,27.74,30.96,34.18,37.4,37.48,37.56,37.64,37.72,37.8,37.7,37.7,37.1,37.1,37.1,7,9.14,11.28,13.42,15.56,17.7,23.16,28.62,34.08,39.54,45,51,55.8,59.9,64.7,69.4
Armenia,3.1,3.54,3.98,4.42,4.86,5.3,6.08,6.86,7.64,8.42,9.2,8.4,10.7,10.7,10.7,10.7,1.3,2.1,2.9,3.7,4.5,5.3,9.24,13.18,17.12,21.06,25,32,37.5,41.9,54.6,58.2
Australia,25,25.66,26.32,26.98,27.64,28.3,28.3,28.3,28.3,28.3,28.3,29.2,29.2,31.1,30.1,30.5,46.8,50.04,53.28,56.52,59.76,63,65.6,68.2,70.8,73.4,76,79.5,79,83.5,84,84.6
Austria,25.1,26.52,27.94,29.36,30.78,32.2,31.42,30.64,29.86,29.08,28.3,28.7,28.7,32.2,31.4,30.3,33.7,38.56,43.42,48.28,53.14,58,61.44,64.88,68.32,71.76,75.2,78.7,80,80.6,81,83.9
Azerbaijan,12.375,12.5,12.625,12.75,12.875,13,13.6,14.2,14.8,15.4,16,16,16,15.6,15.6,16.9,0.1,1.68,3.26,4.84,6.42,8,15.6,23.2,30.8,38.4,46,50,54.2,73,75,77
